Model,Gorivo ,KML grad,KML autoput
ACURA ILX,benzin,10.20336,14.45476
ACURA MDX,benzin,11.05364,11.47878
ACURA MDX,benzin,8.5028,11.47878
ACURA MDX,benzin,8.07766,11.05364
ACURA MDX A-spec,benzin,8.07766,10.6285
ACURA NSX,benzin,8.92794,9.35308
ACURA RLX,benzin,8.5028,12.32906
ACURA TLX,benzin,9.77822,14.02962
ACURA TLX,benzin,8.5028,13.17934
ACURA TLX,benzin,8.5028,12.32906
ACURA TLX AWD A-SPEC,benzin,8.5028,12.32906
ACURA TLX FWD A-SPEC,benzin,9.77822,13.60448
ACURA TLX FWD A-SPEC,benzin,8.5028,12.7542
ALFA ROMEO Giulia,benzin,7.22738,10.20336
ALFA ROMEO Stelvio AWD,benzin,7.22738,9.77822
ASTON MARTIN DB11,benzin,7.65252,10.20336
ASTON MARTIN DB11,benzin,6.3771,9.35308
ASTON MARTIN DBS,benzin,5.95196,9.35308
ASTON MARTIN Rapide S,benzin,5.95196,8.92794
ASTON MARTIN Vanquish S,benzin,5.52682,8.92794
AUDI A8 L,benzin,8.07766,11.47878
AUDI Q5,benzin,9.35308,11.47878
AUDI Q7,benzin,8.07766,10.6285
AUDI Q7,benzin,8.07766,10.6285
AUDI Q8,benzin,7.22738,9.35308
AUDI RS 3,benzin,8.07766,11.90392
AUDI S3,benzin,9.35308,12.32906
AUDI TT RS,benzin,8.5028,11.90392
AUDI TTS Coupe,benzin,9.77822,12.32906
BENTLEY Bentayga,benzin,5.95196,9.77822
BMW 340i Gran Turismo,benzin,8.5028,12.32906
BMW 440i Convertible,benzin,8.92794,12.32906
BMW 440i Convertible,benzin,8.5028,12.32906
BMW 440i Coupe,benzin,7.65252,11.90392
BMW 440i Coupe,benzin,7.65252,11.90392
BMW 440i Coupe,benzin,8.92794,13.60448
BMW 440i Coupe,benzin,8.92794,13.17934
BMW 440i Gran Coupe,benzin,8.92794,13.60448
BMW 440i Gran Coupe,benzin,8.92794,13.17934
BMW 640i Gran Coupe,benzin,8.5028,12.32906
BMW 640i Gran Coupe,benzin,8.07766,11.90392
BMW 650i Gran Coupe,benzin,7.65252,11.05364
BMW 650i Gran Coupe,benzin,7.22738,10.6285
BMW 740i,benzin,8.92794,12.32906
BMW 740i,benzin,8.5028,12.32906
BMW 750i,benzin,7.65252,11.05364
BMW 750i,benzin,7.22738,10.6285
BMW Alpina B6 Gran Coupe,benzin,7.22738,10.6285
BMW Alpina B7,benzin,7.22738,10.6285
BMW M2 Competition,benzin,7.22738,9.77822
BMW M2 Competition,benzin,7.65252,10.6285
BMW M240i Convertible,benzin,7.65252,11.47878
BMW M240i Convertible,benzin,8.92794,12.7542
BMW M240i Convertible,benzin,8.92794,12.7542
BMW M240i Coupe,benzin,7.65252,11.47878
BMW M240i Coupe,benzin,8.92794,12.7542
BMW M240i Coupe,benzin,8.92794,12.7542
BMW M240i Coupe M Performance,benzin,7.65252,11.47878
BMW M240i Coupe M Performance,benzin,8.92794,12.7542
BMW M240i Coupe M Performance,benzin,8.92794,12.7542
BMW M4 CS,benzin,7.22738,9.77822
BMW M4 Convertible,benzin,6.80224,9.35308
BMW M4 Convertible,benzin,7.22738,10.6285
BMW M4 Convertible Competition,benzin,6.80224,9.35308
BMW M4 Convertible Competition,benzin,7.22738,10.6285
BMW M4 Coupe,benzin,7.22738,9.77822
BMW M4 Coupe,benzin,7.65252,10.6285
BMW M4 Coupe Competition,benzin,7.22738,9.77822
BMW M4 Coupe Competition,benzin,7.65252,10.6285
BMW M5,benzin,6.3771,8.92794
BMW M5 Competition,benzin,6.3771,8.92794
BMW M550i,benzin,7.65252,10.6285
BMW M760i xDrive,benzin,5.52682,8.5028
BMW M850i xDrive,benzin,7.65252,10.6285
BMW M850i xDrive Convertible,benzin,7.22738,11.05364
BMW X2 M35i,benzin,9.77822,12.32906
BMW X5 xDrive40i,benzin,8.5028,11.05364
BMW X5 xDrive50i,benzin,7.22738,9.35308
BMW X6 M,benzin,5.95196,8.07766
BMW X6 sDrive35i,benzin,7.65252,10.20336
BMW X6 xDrive35i,benzin,7.65252,10.20336
BMW X6 xDrive50i,benzin,7.22738,9.35308
BMW X7 xDrive40i,benzin,8.5028,10.6285
BMW X7 xDrive50i,benzin,6.3771,8.92794
CADILLAC ATS-V,benzin,6.80224,9.77822
CADILLAC ATS-V,benzin,7.22738,10.6285
CADILLAC CT6,benzin,7.65252,11.05364
CADILLAC CTS,benzin,6.80224,10.20336
CADILLAC Escalade,benzin,5.95196,9.77822
CADILLAC Escalade,benzin,5.95196,8.92794
CADILLAC XTS,benzin,6.80224,9.77822
CHEVROLET Colorado,dizel,8.5028,12.7542
CHEVROLET Colorado,dizel,8.07766,11.90392
CHEVROLET Colorado ZR2,dizel,7.65252,9.35308
CHEVROLET Cruze,dizel,13.17934,20.40672
CHEVROLET Cruze Hatchback,dizel,12.7542,19.1313
CHEVROLET Equinox,dizel,11.90392,16.58046
CHEVROLET Equinox,dizel,11.90392,16.15532
CHEVROLET Silverado 10,benzin,6.80224,8.5028
CHEVROLET Silverado 15 LD,benzin,6.3771,9.35308
CHEVROLET Silverado 15 LD,benzin,6.3771,8.92794
CHEVROLET Suburban 1500,benzin,6.3771,9.35308
CHEVROLET Suburban 1500,benzin,5.95196,8.92794
CHEVROLET Suburban 1500,benzin,5.95196,9.77822
CHEVROLET Suburban 1500,benzin,5.95196,8.5028
CHEVROLET Tahoe 1500,benzin,6.3771,9.35308
CHEVROLET Tahoe 1500,benzin,6.3771,8.92794
CHEVROLET Tahoe 1500,benzin,5.95196,9.77822
CHEVROLET Tahoe 1500,benzin,5.95196,9.35308
FERRARI 488 Pista,benzin,6.3771,8.5028
FERRARI 488 Pista Spider,benzin,6.3771,8.07766
FERRARI 488 Spider,benzin,6.3771,9.35308
FERRARI 488 Spider,benzin,6.80224,9.35308
FERRARI 488 gtb,benzin,6.3771,9.35308
FERRARI 488 gtb,benzin,6.80224,9.35308
FERRARI 812 Superfast,benzin,5.10168,6.80224
FERRARI GTC4Lusso,benzin,5.10168,7.22738
